"Year","Page","Section","Score","Strength","Stage","SDGs","Tags","Quant","Oversight","Summary","Text"
2020,114,"Biodiversity",8,"strong","Measurable","SDG 13, SDG 15","initiative, measured_outcome","✓","","The company has undertaken plantation activities in collaboration with the Karnataka State Forest department, resulting in increased forest cover.","Plantation activities in adjoining reserve forest along with the Karnataka State Forest department Land development and forest cover increase; 33% land developed with plantation"
2020,114,"Biodiversity",8,"strong","Measurable","SDG 13, SDG 14, SDG 15","initiative, measured_outcome","✓","","The company planted 349,970 mangrove saplings as part of a recognized project, which benefits farmers by protecting agricultural land.","Planted 3,49,970 mangrove saplings as a part of the Mangrove Restoration Project, which has also been recognised by India Business and Biodiversity Initiative (IBBI) Benefits to farmers as mangroves hold the soil and prevent ingress of salt water into agricultural land"
2020,173,"CLIMATE ACTION GROUP",7,"strong","In progress","SDG 3, SDG 8","policy, initiative, target","","✓","JSW Group aims for 'Zero Harm' across its businesses and implements initiatives to achieve this goal.","Ensuring the health and safety of people at all its workplaces is also a key goal to the Company’s business responsibility vision. JSW Group targets to achieve ‘Zero Harm’ across its businesses and continues to implement initiatives under the ‘VISION 000’ motto."
2020,112,"STRATEGIC FOCUS AREAS > S6 Air emissions",7,"strong","In progress","SDG 3, SDG 9, SDG 13","initiative, target, kpi","✓","","The company installed de-dusting systems to reduce PM emissions to less than 2mg/m3.","Vijayanagar — Installation of de-dusting systems designed to achieve a work zone guarantee of <2mg/m3 of PM emissions
Improvement of any means by which air emissions are treated on the sites, subsequently enhancing the quality of any eventual air emissions"
2020,173,"CLIMATE ACTION GROUP",6,"strong","Planned","SDG 13","policy, initiative, target","","✓","The Climate Action Group meets regularly to discuss climate change mitigation strategies, research needs, and long-term action plans.","The CAG meets at least once every month with the primary objectives of discussing actions on policy advocacy with external stakeholders, analysis of climate change risks and devising mitigation strategies for each operating unit, identifying R&D needs, developing targets and formulating long-term action plans"
2020,26,"FROM THE CMD’S DESK Emerging stronger and better every day",6,"strong","In progress","SDG 1, SDG 8, SDG 10","initiative, target","✓","","The JSW Foundation works in 255 villages across four states to empower communities and create sustainable livelihoods.","The JSW Foundation continued to make a positive difference across 255 villages in four states, aligned with our vision to ‘empower communities to create sustainable livelihoods’."
2020,173,"CLIMATE ACTION GROUP",5,"moderate","In progress","SDG 9, SDG 12","initiative, target","","","JSW Steel implemented initiatives to minimize waste generation and implemented technologies to recover iron from waste slime, reducing iron ore consumption.","During FY 2019-20, JSW Steel launched several initiatives across its manufacturing units to minimise waste generation and responsible disposal of generated waste. The Company has implemented innovative technologies to recover iron from the waste slime generated, thereby reducing consumption of iron ore."
2020,173,"CLIMATE ACTION GROUP",5,"moderate","In progress","SDG 15","initiative, target","","","JSW Steel prioritizes biodiversity preservation through initiatives that engage with local communities and government bodies.","Preservation of biodiversity is also an important objective of the Company. Precautions are taken to reduce negative impacts on the ecosystem. The Company has various initiatives where it engages with the local population and government bodies to preserve biodiversity in its operations, especially in the eco-sensitive areas."
2020,26,"FROM THE CMD’S DESK Emerging stronger and better every day",5,"moderate","In progress","SDG 3","initiative, policy","","","The company integrates Health & Safety (H&S) as a core value and implements initiatives under the 'VISION 000' motto.","In order to help us reach this vision, we have fully integrated Health & Safety (H&S) as one our core Group values and are continuing to implement initiatives under the ‘VISION 000’ motto."
2020,26,"FROM THE CMD’S DESK Emerging stronger and better every day",5,"moderate","In progress","SDG 1, SDG 2, SDG 3, SDG 4, SDG 5, SDG 6, SDG 10","initiative, target","","","The company's CSR initiatives focus on key areas like health, education, skills development, and community empowerment.","Our CSR initiatives are focused on key intervention areas of health and nutrition, skills and livelihoods, education, water, sanitation and community empowerment."
2020,97,"Key performance indicators",5,"moderate","In progress","SDG 13","initiative, governance","","✓","The company has established a Climate Action Group to address climate change.","In light of the rapid developments related to climate change within technology, regulations, taxation and stakeholders’ growing expectations, JSW Steel has constituted a Climate Action Group (CAG) with cross-functional expertise encompassing R&D, strategy, operations, communications etc."
2020,112,"STRATEGIC FOCUS AREAS > S6 Air emissions",5,"moderate","In progress","SDG 9, SDG 13","initiative, target","","","The company installed monitoring systems to assess air emissions from its sites.","Notable interventions and intended outcomes aligned to the policy objectives
INTERVENTIONS
OUTCOMES
Vijayanagar — Installation of online continuous emission monitoring systems, 18 effluent monitoring devices at six locations and PTZ-cameras
Enhanced and continuous assessment of all air emissions from sites to determine their origin"
2020,94,"COMMITTED TO RESPONSIBLE STEWARDSHIP Our approach Steel is a resource-intensive industry that has a strong reliance on natural capital. The process of steelmaking involves complex activities that require heavy energy utilisation and effective waste and emissions management. As a large-scale steelmaker, we are mindful of the impact our operations have",5,"moderate","In progress","SDG 7, SDG 12","initiative, target","","","The company seeks to improve energy efficiency and recover waste heat during its operations.","During our operations, we strive to achieve maximum energy efficiency and recover waste heat for use in the process."
