"Company","Year","Report","Status","Valid","Rejected","Rej. %"
"Coromandel",2016,"Annual Report 2015-16","Partial",0,0,NA
"Coromandel",2017,"Annual Report 2016-17","Partial",0,0,NA
"Coromandel",2018,"Annual Report 2017-18","Partial",0,0,NA
"Coromandel",2019,"Annual Report 2018-19","Partial",70,5,"7%"
"Coromandel",2020,"Annual Report 2019-20","Partial",67,7,"9%"
"Coromandel",2021,"Annual Report 2020-21","Partial",60,15,"20%"
"Coromandel",2022,"Integrated Annual Report 2021-22","Partial",67,8,"11%"
"Coromandel",2023,"Integrated Annual Report 2022-23","Partial",72,2,"3%"
"Coromandel",2024,"Integrated Annual Report 2023-24","Partial",70,5,"7%"
"Coromandel",2025,"Integrated Annual Report 2024-25","Partial",81,2,"2%"
"Jswsteel",2020,"Integrated Report FY 2019-20","Partial",59,9,"13%"
"Jswsteel",2022,"Business Responsibility and Sustainability Report 2021-22","Partial",56,4,"7%"
"Jswsteel",2023,"Integrated Report and BRSR FY 2022-23","Partial",68,3,"4%"
"Jswsteel",2024,"Integrated Annual Report FY 2023-24","Partial",83,2,"2%"
"Jswsteel",2025,"Integrated Annual Report FY 2024-25","Partial",80,2,"2%"
