"sdg","n","avg_score","quant_rate","pct_strong","years"
"SDG 7",39,5.28,"41%","38%","2020, 2021, 2022, 2023, 2024, 2025"
"SDG 4",38,4.53,"37%","26%","2019, 2020, 2021, 2022, 2023, 2024, 2025"
"SDG 11",12,4.42,"25%","25%","2019, 2020, 2022, 2023, 2024"
"SDG 6",39,4.41,"26%","13%","2019, 2020, 2021, 2022, 2023, 2024, 2025"
"SDG 13",97,4.38,"27%","22%","2019, 2020, 2021, 2022, 2023, 2024, 2025"
"SDG 5",19,4.21,"26%","16%","2019, 2020, 2021, 2022, 2023, 2024, 2025"
"SDG 3",61,4.03,"23%","18%","2019, 2020, 2021, 2022, 2023, 2024, 2025"
"SDG 15",99,3.81,"17%","12%","2019, 2020, 2021, 2022, 2023, 2024, 2025"
"SDG 9",52,3.79,"12%","12%","2019, 2020, 2021, 2022, 2023, 2024, 2025"
"SDG 12",150,3.74,"11%","11%","2019, 2020, 2021, 2022, 2023, 2024, 2025"
"SDG 8",75,3.63,"21%","12%","2019, 2020, 2021, 2022, 2023, 2024, 2025"
"SDG 10",31,3.55,"26%","19%","2019, 2020, 2021, 2022, 2023, 2024, 2025"
"SDG 1",37,3.41,"14%","5%","2019, 2020, 2021, 2022, 2023, 2024, 2025"
"SDG 2",99,3.28,"11%","3%","2019, 2020, 2021, 2022, 2023, 2024, 2025"
"SDG 17",39,3,"8%","3%","2019, 2020, 2021, 2022, 2023, 2024, 2025"
"SDG 14",8,2.88,"0%","0%","2019, 2020, 2022, 2023, 2024, 2025"
"SDG 16",20,2.5,"5%","0%","2019, 2021, 2022, 2023, 2024, 2025"
